DateTime,Open,High,Low,Close,Volume_(BTC)
2013-09-27,124.85,126.96,124.35,126.95,12117.32341602
2013-09-28,126.95,127.0,124.01,126.54,6320.25836432
2013-09-29,126.5,128.8,126.08,127.01,6745.39450444
2013-09-30,127.0,127.53,122.77,126.25,11530.52471883
2013-10-01,126.25,127.93,125.54,127.33,7513.8349608
2013-10-02,127.31,127.8,85.0,103.85,60639.38898696
2013-10-03,103.85,118.79,102.0,117.63,26112.7638711
2013-10-04,117.62,122.98,116.48,121.94,13194.57595434
2013-10-05,121.94,122.29,121.11,121.2,2942.63601131
2013-10-06,121.25,122.49,121.13,122.49,3926.3413189
2013-10-07,122.49,124.49,120.11,123.5,11885.1346002
2013-10-08,123.5,125.17,122.17,124.13,13183.37384894
2013-10-09,124.5,127.99,122.3,125.9,18933.76126312
2013-10-10,125.79,126.8,124.9,126.8,11382.14626948
2013-10-11,126.8,127.42,125.93,127.38,7866.70490823
2013-10-12,127.38,128.0,126.01,127.98,7571.27286324
2013-10-13,127.58,133.0,127.57,132.82,12574.14780981
2013-10-14,132.83,138.22,132.0,135.42,21256.28057191
2013-10-15,135.43,147.39,134.09,142.76,22232.07911256
2013-10-16,142.75,147.0,137.38,137.56,26332.89631674
2013-10-17,137.54,145.0,135.0,143.94,16767.05247964
2013-10-18,143.94,154.69,143.23,152.89,23007.23097591
2013-10-19,152.89,172.0,152.44,166.0,37966.98264045
2013-10-20,166.0,166.6,162.54,166.59,5667.34588161
2013-10-21,166.6,181.93,166.05,180.13,33107.72111019
2013-10-22,180.15,196.27,179.0,189.75,41865.06715465
2013-10-23,189.74,203.96,185.0,203.96,24326.01475489
2013-10-24,203.94,206.6,156.2,193.87,55593.92700629
2013-10-25,194.0,194.0,167.67,186.6,32779.54290704
2013-10-26,187.5,190.0,177.0,179.56,9644.32071899
2013-10-27,180.39,195.0,179.5,194.0,10095.56583408
2013-10-28,194.99,197.5,190.8,196.62,12248.66455971
2013-10-29,196.62,205.0,195.32,204.69,16744.50649074
2013-10-30,204.0,206.0,195.0,197.54,25494.14806999
2013-10-31,197.58,203.75,195.1,203.54,13741.49074655
2013-11-01,203.54,203.54,200.23,202.15,4962.80900171
2013-11-02,202.14,205.15,201.2,204.86,6600.0982594
2013-11-03,204.86,210.0,203.51,210.0,11227.96295973
2013-11-04,210.0,230.4,207.22,226.83,28261.78814843
2013-11-05,227.29,250.79,226.0,242.9,42583.70082865
2013-11-06,242.9,265.0,241.11,263.24,40026.70686769
2013-11-07,263.24,297.8,263.24,291.0,49703.85180124
2013-11-08,291.0,334.45,288.81,334.0,40186.15864335
2013-11-09,333.9,363.65,298.95,341.24,44361.21177945
2013-11-10,341.24,341.24,265.01,323.0,67237.40748146
2013-11-11,323.0,349.9,310.1,343.91,26943.37824394
2013-11-12,343.63,357.0,340.01,354.96,19748.2815018
2013-11-13,354.94,399.89,354.94,393.5,38689.80193194
2013-11-14,393.5,421.97,381.0,416.95,31638.477442800002
2013-11-15,416.88,431.36,390.0,412.0,32323.2062381
2013-11-16,412.07,447.47,406.92,434.53,17983.46003914
2013-11-17,434.53,480.0,434.53,477.38,25991.59517426
2013-11-18,478.1,669.55,471.23,669.01,57089.07895381
2013-11-19,669.0,755.0,378.0,536.01,71560.94596711
2013-11-20,536.01,619.0,440.0,599.0,57711.50722124
2013-11-21,600.0,730.0,580.37,720.0,30720.73129411
2013-11-22,720.0,799.8,683.2,795.0,25125.12846391
2013-11-23,794.0,874.81,785.0,829.15,20338.86461312
2013-11-24,829.15,842.78,747.0,800.05,20130.68748874
2013-11-25,800.01,838.2,770.1,817.88,23042.05232527
2013-11-26,811.95,919.0,801.0,916.3,29793.02508811
2013-11-27,915.01,969.0,879.99,963.98,30325.52974397
2013-11-28,963.98,1050.18,931.0,1012.98,36898.59364554
2013-11-29,1012.0,1141.0,988.22,1131.99,21873.31334686
2013-11-30,1131.99,1163.0,1080.0,1119.52,12907.55909135
2013-12-01,1119.52,1123.11,795.6,955.0,61544.38082098
2013-12-02,955.0,1057.0,925.16,1047.47,31516.72530823
2013-12-03,1037.11,1088.0,1000.0,1055.0,12567.59167863
2013-12-04,1055.0,1153.27,1052.1,1132.01,14433.50978208
2013-12-05,1135.0,1138.58,848.42,1023.87,55262.65698961
2013-12-06,1020.51,1033.13,796.73,814.91,52688.66174426
2013-12-07,809.72,844.0,542.38,693.3,79852.42378302
2013-12-08,693.3,797.0,651.0,787.0,27465.08270962
2013-12-09,787.0,899.99,766.66,899.9,28510.03873043
2013-12-10,899.91,989.6,895.01,979.23,22694.67993333
2013-12-11,979.07,988.0,804.0,879.04,31708.38203134
2013-12-12,879.04,898.9,832.01,871.22,13973.52413434
2013-12-13,871.22,920.42,850.0,885.98,14766.95107866
2013-12-14,888.47,895.0,841.01,850.78,7426.55203462
2013-12-15,850.78,869.98,803.51,862.0,11638.00040701
2013-12-16,861.98,864.0,651.34,691.0,58806.70410398
2013-12-17,690.5,750.0,612.51,673.62,43034.02835938
2013-12-18,675.0,680.7,382.21,520.0,137070.17833805
2013-12-19,520.0,700.0,492.91,685.0,56734.10927262
2013-12-20,685.1,719.97,570.0,610.0,40959.74061981
2013-12-21,610.0,648.88,550.0,595.03,19218.17096332
2013-12-22,595.07,690.0,575.61,612.66,17673.23398637
2013-12-23,612.66,665.0,607.77,654.76,13100.16416543
2013-12-24,654.76,668.8,628.11,652.99,12795.80403043
2013-12-25,653.57,681.24,636.99,679.01,6653.00965075
2013-12-26,679.01,764.32,677.57,747.0,28028.638357840002
2013-12-27,747.83,762.1,702.26,721.08,16261.66282726
2013-12-28,723.98,736.01,682.22,715.0,13385.190853170001
2013-12-29,715.0,732.0,703.45,728.0,8121.30581786
2013-12-30,728.01,740.0,722.81,736.51,6600.2391558
2013-12-31,736.51,739.0,709.0,732.0,7919.32033024
2014-01-01,732.0,757.99,729.01,754.9,7907.63786208
2014-01-02,751.88,798.7,742.5,784.19,15134.16900738
2014-01-03,784.19,818.99,767.62,809.4,14860.26282816
2014-01-04,808.24,830.0,790.2,828.79,10990.14294762
2014-01-05,828.79,948.0,826.07,905.0,24075.9495964
2014-01-06,905.0,995.0,876.0,919.24,25886.90639128
2014-01-07,915.8,943.0,785.0,785.0,34063.52120798
2014-01-08,785.0,849.79,765.0,823.45,26315.75852948
2014-01-09,823.94,848.0,779.78,824.76,25302.24420162
2014-01-10,825.5,861.4,799.41,852.61,12846.16052006
2014-01-11,851.63,909.96,849.51,896.59,16130.91651296
2014-01-12,895.0,905.0,826.46,844.05,12189.17547898
2014-01-13,844.04,844.05,783.11,823.0,19366.39159317
2014-01-14,823.99,837.0,800.0,815.99,9729.54391417
2014-01-15,815.99,850.26,805.18,841.14,12267.77449637
2014-01-16,841.14,849.0,810.01,814.4,8215.45166349
2014-01-17,814.4,821.0,765.0,797.2,17114.93953749
2014-01-18,796.97,817.12,796.0,810.0,5486.84152085
2014-01-19,810.0,842.07,791.01,842.07,8418.00804502
2014-01-20,841.5,845.0,815.0,826.02,6968.15670477
2014-01-21,826.02,834.5,814.0,824.89,7669.59937021
2014-01-22,824.88,824.99,801.0,819.2,8309.09407494
2014-01-23,819.2,823.28,801.1,812.0,7395.0094920599995
2014-01-24,810.95,811.74,767.02,780.0,15775.20253781
2014-01-25,780.0,817.0,773.4,806.8,8705.5640134
2014-01-26,806.81,834.0,795.01,814.75,9704.13726187
2014-01-27,814.67,823.0,725.0,751.95,25194.23662664
2014-01-28,750.95,812.93,740.01,788.0,20042.81613687
2014-01-29,785.51,804.95,781.99,794.21,7044.52156243
2014-01-30,794.21,812.44,770.7,799.99,13125.54815594
2014-01-31,799.99,809.98,791.0,803.0,7728.16005641
2014-02-01,803.0,827.38,802.59,813.23,8296.06416747
2014-02-02,813.23,825.21,810.23,814.99,4075.68246141
2014-02-03,814.94,815.0,800.5,808.5,4931.83355028
2014-02-04,806.99,812.98,796.83,802.99,7592.00316474
2014-02-05,802.0,810.0,775.0,782.33,8479.50233563
2014-02-06,780.01,803.0,752.0,763.99,20652.60674873
2014-02-07,764.0,766.45,619.0,705.01,66362.25784175
2014-02-08,705.01,723.0,662.01,680.49,13501.11536105
2014-02-09,680.49,755.42,666.21,687.37,15061.93270719
2014-02-10,688.0,713.0,530.0,687.81,71860.53695225
