Date,Actual_Price,Predicted_Price,Abs_Error,Pct_Error,Directional_Error,Is_Outlier,Outlier_Type
2015-08-22,231.0,253.71506,22.715057373046875,9.833358170150163,-22.715057373046875,False,Normal
2015-08-23,228.89,250.44513,21.555129394531264,9.41724382652421,-21.555129394531264,False,Normal
2015-08-24,209.72,247.81944,38.09944274902344,18.166814204188174,-38.09944274902344,False,Normal
2015-08-25,222.38,241.1675,18.787495727539067,8.448374731333335,-18.787495727539067,False,Normal
2015-08-26,225.8,238.62984,12.829837036132801,5.681947314496369,-12.829837036132801,False,Normal
2015-08-27,225.09,238.20601,13.116008911132809,5.827006491240308,-13.116008911132809,False,Normal
2015-08-28,231.65,238.56615,6.916146850585932,2.9856019212544496,-6.916146850585932,False,Normal
2015-08-29,230.54,241.23532,10.695321044921883,4.63924743858848,-10.695321044921883,False,Normal
2015-08-30,229.0,243.9448,14.944793701171875,6.526110786537936,-14.944793701171875,False,Normal
2015-08-31,229.86,246.17717,16.317169799804674,7.098742625861251,-16.317169799804674,False,Normal
2015-09-01,227.96,248.3472,20.387198486328117,8.943322726060764,-20.387198486328117,False,Normal
2015-09-02,229.18,249.67548,20.495476074218743,8.94296015106848,-20.495476074218743,False,Normal
2015-09-03,227.28,250.94632,23.666319580078124,10.412847404117443,-23.666319580078124,False,Normal
2015-09-04,230.52,251.4083,20.888294677734365,9.06138065145513,-20.888294677734365,False,Normal
2015-09-05,235.6,252.43661,16.83661499023438,7.146271218265866,-16.83661499023438,False,Normal
2015-09-06,240.28,254.61705,14.337050170898436,5.966809626643264,-14.337050170898436,False,Normal
2015-09-07,240.19,257.83084,17.640841064453127,7.344536019173624,-17.640841064453127,False,Normal
2015-09-08,244.21,260.67627,16.466269531249992,6.742668003460134,-16.466269531249992,False,Normal
2015-09-09,238.35,264.03397,25.68396606445313,10.775735709860765,-25.68396606445313,False,Normal
2015-09-10,238.66,265.2409,26.580905761718753,11.137562122567148,-26.580905761718753,False,Normal
2015-09-11,240.0,265.82416,25.82415771484375,10.760065714518229,-25.82415771484375,False,Normal
2015-09-12,234.79,266.2484,31.458413085937508,13.3985319161538,-31.458413085937508,False,Normal
2015-09-13,229.66,264.9569,35.2969091796875,15.369201941865152,-35.2969091796875,False,Normal
2015-09-14,229.71,262.06073,32.35072998046874,14.083291968337791,-32.35072998046874,False,Normal
2015-09-15,230.03,259.15427,29.124266357421874,12.661073058914868,-29.124266357421874,False,Normal
2015-09-16,228.34,256.61176,28.271755371093747,12.381429171890053,-28.271755371093747,False,Normal
2015-09-17,232.17,254.06207,21.892072753906263,9.429328834003647,-21.892072753906263,False,Normal
2015-09-18,233.12,252.99213,19.872126464843745,8.524419382654317,-19.872126464843745,False,Normal
2015-09-19,230.0,252.6815,22.681503295898438,9.861523172129756,-22.681503295898438,False,Normal
2015-09-20,230.16,251.92012,21.760120239257816,9.4543449075677,-21.760120239257816,False,Normal
2015-09-21,226.15,251.41301,25.263009643554682,11.170908531308726,-25.263009643554682,False,Normal
2015-09-22,230.42,250.05064,19.63064392089845,8.519505216950982,-19.63064392089845,False,Normal
2015-09-23,229.42,249.97223,20.552229003906263,8.958342343259638,-20.552229003906263,False,Normal
2015-09-24,233.86,249.8887,16.02870239257811,6.853973485238224,-16.02870239257811,False,Normal
2015-09-25,235.22000000000003,251.12813,15.908128051757785,6.763084793707076,-15.908128051757785,False,Normal
2015-09-26,233.81,252.83865,19.028653564453123,8.138511425710245,-19.028653564453123,False,Normal
2015-09-27,232.40999999999997,254.11885,21.708850708007844,9.340755865929971,-21.708850708007844,False,Normal
2015-09-28,239.14,254.82295,15.682952270507826,6.55806317241274,-15.682952270507826,False,Normal
2015-09-29,236.94,257.06372,20.123720703125002,8.493171563739766,-20.123720703125002,False,Normal
2015-09-30,236.2,258.55524,22.35523681640626,9.46453717883415,-22.35523681640626,False,Normal
2015-10-01,237.15,259.5227,22.372705078124994,9.433989069418088,-22.372705078124994,False,Normal
2015-10-02,237.77,260.408,22.637989501953115,9.52096122385209,-22.637989501953115,False,Normal
2015-10-03,238.95,261.18378,22.23377685546876,9.304782111516536,-22.23377685546876,False,Normal
2015-10-04,238.6,262.0319,23.43189086914063,9.820574546999426,-23.43189086914063,False,Normal
2015-10-05,240.84,262.57483,21.734829101562497,9.024592717805389,-21.734829101562497,False,Normal
2015-10-06,246.57,263.49463,16.924628906250007,6.864025999209153,-16.924628906250007,False,Normal
2015-10-07,243.2,265.74744,22.54743652343751,9.271149886281872,-22.54743652343751,False,Normal
2015-10-08,242.9,266.91455,24.014550781249994,9.886599745265539,-24.014550781249994,False,Normal
2015-10-09,244.48,267.6336,23.15360595703126,9.470552174832815,-23.15360595703126,False,Normal
2015-10-10,245.71,268.43646,22.726462402343742,9.249303000424785,-22.726462402343742,False,Normal
2015-10-11,248.05,269.30627,21.25627441406249,8.569350701093525,-21.25627441406249,False,Normal
2015-10-12,245.81,270.563,24.752988281249998,10.06996797577397,-24.752988281249998,False,Normal
2015-10-13,249.73,271.0028,21.27280761718751,8.518322835537386,-21.27280761718751,False,Normal
2015-10-14,252.47,272.20618,19.7361767578125,7.817236407419694,-19.7361767578125,False,Normal
2015-10-15,254.49,273.93567,19.44566894531249,7.64103459676706,-19.44566894531249,False,Normal
2015-10-16,263.09,275.9558,12.865810546875025,4.890269697394438,-12.865810546875025,False,Normal
2015-10-17,270.07,279.9226,9.852607421875007,3.648168038610363,-9.852607421875007,False,Normal
2015-10-18,261.05,285.34137,24.29136962890624,9.305255555987832,-24.29136962890624,False,Normal
2015-10-19,263.66,287.71677,24.05676635742185,9.124162314124952,-24.05676635742185,False,Normal
2015-10-20,270.64,289.8317,19.19169555664064,7.091226558025658,-19.19169555664064,False,Normal
